subject,problem_type,learning_block,compression_score
11,2,4,0.48193359375
12,2,4,0.123046875
13,2,4,0.5771484375
14,2,4,0.13427734375
15,2,4,0.1484375
16,2,4,0.130859375
17,2,4,0.0986328125
18,2,4,0.2021484375
19,2,4,0.7431640625
20,2,4,0.11181640625
21,2,4,0.0859375
22,2,4,0.19384765625
23,2,4,0.15771484375
24,2,4,0.25732421875
02,6,4,0.0
03,6,4,0.1435546875
04,6,4,0.2763671875
05,6,4,0.0419921875
06,6,4,0.00390625
07,6,4,0.2490234375
08,6,4,0.16552734375
10,6,4,0.00390625
11,6,4,0.0771484375
12,6,4,0.14794921875
13,6,4,0.56298828125
14,6,4,0.23779296875
15,6,4,0.00732421875
16,6,4,0.12548828125
17,6,4,0.001953125
18,6,4,0.0546875
19,6,4,0.0
20,6,4,0.02099609375
21,6,4,0.0
22,6,4,0.16259765625
23,6,4,0.12841796875
24,6,4,0.05322265625
