subject,problem_type,learning_block,compression_score
12,2,2,0.022078241710049795
13,2,2,0.0221124258766002
14,2,2,0.023017046477667863
15,2,2,0.022088602257777673
16,2,2,0.006177094934729649
17,2,2,0.011665327148373705
18,2,2,0.08590555238272196
19,2,2,0.05550054134062324
20,2,2,0.07247183303942209
21,2,2,0.004036805087772183
22,2,2,5.35006612817357e-07
23,2,2,0.00034019550417438427
24,2,2,0.03503992622547181
02,6,2,0.11053659821068137
03,6,2,0.040607639446821386
04,6,2,0.004244899791410017
05,6,2,2.7320971041078224e-08
06,6,2,0.018530534444885866
07,6,2,0.027817966348122863
08,6,2,0.002194545515745522
10,6,2,0.0018704540445337314
11,6,2,0.07530105230235373
12,6,2,0.08203977066136056
13,6,2,0.057268960856520335
14,6,2,0.003982257086032448
15,6,2,0.00013210080053657758
16,6,2,0.0004447223368772568
17,6,2,0.00041288856681681585
18,6,2,0.0025879266754822994
19,6,2,0.0005865922690131142
20,6,2,6.492731485785441e-08
21,6,2,0.0015545043467631858
22,6,2,5.1021523217870124e-05
23,6,2,0.09881498288337845
24,6,2,0.0688997004539342
02,1,3,0.023706107515845454
03,1,3,0.02482734065743064
04,1,3,0.06679105634531801
05,1,3,0.025370489081509573
06,1,3,0.003674862831485548
07,1,3,0.11221778981204189
08,1,3,0.11221773340252617
10,1,3,0.0007342723812721885
11,1,3,0.007484047005367922
12,1,3,1.9654951827208222e-07
13,1,3,0.0009037829761303073
14,1,3,0.08689311377512837
15,1,3,0.0030428882232567955
16,1,3,1.025336586746306e-07
17,1,3,0.11221771459935426
18,1,3,0.11221778981204189
19,1,3,0.11221780861521383
20,1,3,0.006810122520585882
21,1,3,0.023280742160672885
22,1,3,0.11221771459935426
23,1,3,0.0029821727811273624
24,1,3,0.11221778981204189
02,2,3,0.004319491974416334
03,2,3,2.153526902082259e-07
04,2,3,0.022099226049912463
05,2,3,0.022112331860740603
06,2,3,0.022906709464841746
07,2,3,0.013945700626134677
08,2,3,0.022245195073526847
10,2,3,0.022068915336777517
11,2,3,0.0008199960420551544
12,2,3,0.02211838648209885
13,2,3,0.02210560032519332
14,2,3,0.022150502299738056
15,2,3,0.02207006233026465
16,2,3,0.0026168647570670722
17,2,3,0.01019034993345902
18,2,3,0.06832280033625901
19,2,3,0.025140714320648072
20,2,3,0.03581777584145532
21,2,3,0.0016791129670765126
22,2,3,2.7176220596114575e-07
23,2,3,0.0002856851087785217
24,2,3,0.051134726868395264
02,6,3,0.0016692601049904665
03,6,3,0.006707814462169559
04,6,3,0.0007627779899027909
05,6,3,6.492731485785441e-08
06,6,3,0.012623668411616579
07,6,3,0.03281267170838467
08,6,3,0.0003429783736185188
10,6,3,0.0013867800532374464
11,6,3,0.07235119188838385
12,6,3,0.09277619379591895
13,6,3,0.0647673837706079
14,6,3,0.0004962618311097622
15,6,3,4.665918733240404e-05
16,6,3,0.00029779435149496214
17,6,3,0.0007463064113009399
18,6,3,0.002317367834726497
19,6,3,0.000144379271800249
20,6,3,1.7774634636369413e-07
21,6,3,0.00039641698821496485
22,6,3,6.458005767623343e-06
23,6,3,0.07546920906883361
24,6,3,0.05673102091106319
02,1,4,0.02368403259201146
03,1,4,0.024997528166477878
04,1,4,0.0653556974136385
05,1,4,0.029458712326683706
06,1,4,0.0017083895057558585
07,1,4,0.11221775220569807
08,1,4,0.11221771459935426
10,1,4,0.0010179370328561865
11,1,4,0.017057080286896675
12,1,4,6.102193005341761e-07
13,1,4,0.0008936104601216521
14,1,4,0.09435821746857384
15,1,4,0.0007021377604610468
16,1,4,8.373048676624251e-08
17,1,4,0.11221771459935426
18,1,4,0.11221778981204189
19,1,4,0.11221778981204189
20,1,4,0.004106470839735504
21,1,4,0.026617910309849363
22,1,4,0.11221771459935426
23,1,4,0.004362682860316408
24,1,4,0.11221778981204189
02,2,4,0.012706120320485487
03,2,4,1.7774634633593855e-07
04,2,4,0.02248200222068636
05,2,4,0.02208675954692954
06,2,4,0.025741287631770526
07,2,4,0.01313139165979843
08,2,4,0.022264035851790598
10,2,4,0.022067918768665734
11,2,4,0.002371991049153893
12,2,4,0.022107330217009946
13,2,4,0.022070024723920778
14,2,4,0.02215638769254899
15,2,4,0.02206979908585774
16,2,4,0.0027435229231196623
17,2,4,0.0017350147971944563
18,2,4,0.0677565240107185
19,2,4,0.027697268787568896
20,2,4,0.09044619874746138
21,2,4,0.002767873030756013
22,2,4,1.4014000251916237e-07
23,2,4,0.0002966849643517011
24,2,4,0.04419840597568195
02,6,4,0.00031328816515696634
03,6,4,0.018019313806726944
04,6,4,0.0020842837156070937
05,6,4,1.7774634636369413e-07
06,6,4,0.050739803848561055
07,6,4,0.005737006695943819
08,6,4,0.0010432084959165755
10,6,4,0.0017789202036274931
11,6,4,0.038616609178564326
12,6,4,0.001962871634520136
13,6,4,0.028156367033165763
14,6,4,0.00030093448120560584
15,6,4,1.4204912598625441e-05
16,6,4,0.00013140508317552313
17,6,4,0.00030226950641187855
18,6,4,0.001329919261351592
19,6,4,9.82362879087817e-05
20,6,4,1.7774634633593855e-07
21,6,4,0.000374774537335143
22,6,4,2.5093396644471078e-06
23,6,4,0.05059391003763433
24,6,4,0.0666561435867925
