1	3	3	1	1	1	1	2	1186	0
2	3	3	1	1	0	2	2	1887	1
3	3	3	0	0	0	1	1	1232	1
4	3	3	1	0	0	1	1	2334	1
5	3	3	0	1	1	1	1	1782	1
6	3	3	1	0	1	2	2	1606	1
7	3	3	0	0	1	2	1	1631	0
8	3	3	0	1	0	2	2	1843	1
9	3	3	1	0	0	1	1	1506	1
10	3	3	1	0	1	2	2	1044	1
11	3	3	1	1	0	2	2	2149	1
12	3	3	0	1	1	1	1	1626	1
13	3	3	0	1	0	2	2	1436	1
14	3	3	0	0	1	2	2	1404	1
15	3	3	1	1	1	1	2	2244	0
16	3	3	0	0	0	1	1	1221	1
17	3	3	1	1	0	2	2	1421	1
18	3	3	1	0	1	2	2	2175	1
19	3	3	0	1	1	1	1	1563	1
20	3	3	1	0	0	1	1	1906	1
21	3	3	0	1	0	2	2	1847	1
22	3	3	0	0	0	1	1	1763	1
23	3	3	1	1	1	1	1	987	1
24	3	3	0	0	1	2	2	1312	1
25	3	3	0	1	1	1	1	969	1
26	3	3	1	0	0	1	1	1693	1
27	3	3	1	1	0	2	2	1082	1
28	3	3	1	1	1	1	1	1554	1
29	3	3	0	0	1	2	2	1008	1
30	3	3	0	0	0	1	1	1234	1
31	3	3	0	1	0	2	2	2047	1
32	3	3	1	0	1	2	2	1758	1
