1	3	2	1	1	1	1	2	1768	0
2	3	2	1	1	0	2	1	876	0
3	3	2	0	0	0	1	2	1123	0
4	3	2	1	0	0	1	1	1423	1
5	3	2	0	1	1	1	1	2120	1
6	3	2	1	0	1	2	2	1569	1
7	3	2	0	0	1	2	2	1274	1
8	3	2	0	1	0	2	1	1257	0
9	3	2	1	0	0	1	1	1714	1
10	3	2	1	0	1	2	1	1315	0
11	3	2	1	1	0	2	1	1224	0
12	3	2	0	1	1	1	2	1636	0
13	3	2	0	1	0	2	2	2594	1
14	3	2	0	0	1	2	1	504	0
15	3	2	1	1	1	1	1	1325	1
16	3	2	0	0	0	1	2	1322	0
17	3	2	1	1	0	2	1	1423	0
18	3	2	1	0	1	2	1	1210	0
19	3	2	0	1	1	1	1	626	1
20	3	2	1	0	0	1	2	542	0
21	3	2	0	1	0	2	1	2296	0
22	3	2	0	0	0	1	1	1736	1
23	3	2	1	1	1	1	2	2501	0
24	3	2	0	0	1	2	2	899	1
25	3	2	0	1	1	1	2	999	0
26	3	2	1	0	0	1	1	1484	1
27	3	2	1	1	0	2	1	903	0
28	3	2	1	1	1	1	1	2224	1
29	3	2	0	0	1	2	2	1925	1
30	3	2	0	0	0	1	2	1628	0
31	3	2	0	1	0	2	2	1473	1
32	3	2	1	0	1	2	2	1157	1
